QoM,Speed,Acc,TiE,Flow,qomFiltered,timeEffortFiltered,flowFiltered
0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,5000.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,5000.0,0.0,0.0,0.0
250.0,0.0,0.0,1000.0,4000.0,0.0,0.0,0.0
1250.0,0.0,0.0,5000.0,5000.0,0.0,0.0,500.0
1250.0,0.0,0.0,5000.0,5000.0,0.0,0.0,4000.0
1250.0,0.0,0.0,3000.0,5000.0,0.0,0.0,5000.0
1250.0,0.0,0.0,5000.0,5000.0,250.0,1000.0,5000.0
1250.0,0.0,0.0,5000.0,5000.0,1250.0,3000.0,5000.0
1000.0,0.0,0.0,4000.0,4000.0,1250.0,4000.0,5000.0
0.0,0.0,0.0,0.0,5000.0,1250.0,4000.0,5000.0
0.0,0.0,0.0,0.0,5000.0,1250.0,4000.0,5000.0
0.0,0.0,0.0,0.0,4500.0,1250.0,4000.0,5000.0
0.0,0.0,0.0,0.0,0.0,1250.0,4000.0,5000.0
0.0,0.0,0.0,0.0,0.0,1000.0,3000.0,5000.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4500.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,5197.7554,0.0,0.0,0.0
0.0,0.0,0.0,0.0,5145.6836,0.0,0.0,0.0
0.0,0.0,0.0,0.0,5148.381,0.0,0.0,0.0
1434.6757,0.0,0.0,5738.7026,5201.574,0.0,0.0,0.0
1408.0042,0.0,0.0,5632.0166,5106.2773,0.0,0.0,5106.2773
1409.9424,0.0,0.0,5639.7695,5110.711,0.0,0.0,5110.711
1433.4868,0.0,0.0,5743.756,5184.39,0.0,0.0,5145.6836
1433.4868,0.0,0.0,5548.088,5187.686,1408.0042,5548.088,5148.381
1433.4868,0.0,0.0,5561.6733,5187.686,1409.9424,5561.6733,5184.39
15.962912,0.0,0.0,122.588745,5187.352,1409.9424,5561.6733,5187.352
60.553345,0.0,0.0,279.31064,5099.381,1409.9424,5561.6733,5184.39
53.780807,0.0,0.0,290.7757,5103.419,1409.9424,5561.6733,5184.39
22.118021,0.0,0.0,97.26816,183.13684,1409.9424,5561.6733,5184.39
22.118021,0.0,0.0,110.04265,257.0695,1408.0042,5548.088,5110.711
22.118021,0.0,0.0,110.04265,388.9148,60.553345,290.7757,5110.711
76.070145,0.0,0.0,321.6961,275.43436,60.553345,290.7757,5103.419
77.20211,0.0,0.0,317.35498,349.36874,60.553345,290.7757,5099.381
103.35936,0.0,0.0,418.055,299.74118,60.553345,290.7757,388.9148
103.8929,0.0,0.0,366.3418,323.81573,60.553345,290.7757,349.36874
157.10751,0.0,0.0,272.2318,656.0919,76.070145,290.7757,349.36874
157.10751,0.0,0.0,373.65375,656.0919,77.20211,317.35498,349.36874
116.03815,0.0,0.0,343.4564,303.47556,103.35936,321.6961,323.81573
116.03815,0.0,0.0,327.66748,539.86456,103.8929,327.66748,349.36874
99.67882,0.0,0.0,401.37976,582.4646,103.8929,343.4564,388.9148
99.67882,0.0,0.0,398.71527,622.7958,103.8929,366.3418,539.86456
104.39003,0.0,0.0,686.0877,895.5199,104.39003,373.65375,582.4646
104.39003,0.0,0.0,686.0877,786.51685,104.39003,398.71527,622.7958
131.36424,0.0,0.0,525.457,794.0188,116.03815,398.71527,656.0919
19.25,0.0,0.0,1060.8748,417.61792,116.03815,401.37976,656.0919
19.25,0.0,0.0,1060.8748,417.61792,104.39003,525.457,622.7958
19.25,0.0,0.0,1060.8748,294.71255,104.39003,686.0877,582.4646
26.310572,0.0,0.0,1034.1106,297.99622,99.67882,686.0877,582.4646
26.310572,0.0,0.0,1034.1106,297.99622,99.67882,1034.1106,582.4646
26.310572,0.0,0.0,1034.1106,320.63757,26.310572,1034.1106,417.61792
104.59602,0.0,0.0,704.36475,609.4773,26.310572,1034.1106,417.61792
104.59602,0.0,0.0,704.36475,617.91205,26.310572,1034.1106,417.61792
176.19022,0.0,0.0,815.774,576.8489,26.310572,1034.1106,417.61792
88.54498,0.0,0.0,449.06375,407.4298,26.310572,1034.1106,417.61792
92.584465,0.0,0.0,456.8122,418.90094,88.54498,1034.1106,417.61792
92.584465,0.0,0.0,342.98294,418.90094,92.584465,815.774,418.90094
77.81783,0.0,0.0,300.08365,249.6477,92.584465,704.36475,418.90094
77.03827,0.0,0.0,314.48895,268.55072,92.584465,704.36475,418.90094
11.710781,0.0,0.0,50.127487,177.28351,92.584465,456.8122,418.90094
9.119378,0.0,0.0,36.403816,157.13695,92.584465,449.06375,418.90094
21.744387,0.0,0.0,82.56631,186.79056,88.54498,342.98294,407.4298
21.744387,0.0,0.0,82.56631,120.15494,77.81783,314.48895,268.55072
21.744387,0.0,0.0,82.56631,265.0182,77.03827,300.08365,265.0182
20.961224,0.0,0.0,83.844894,249.59695,21.744387,83.844894,249.6477
31.798712,0.0,0.0,186.02275,225.74658,21.744387,83.844894,249.59695
110.440544,0.0,0.0,488.8744,222.5914,21.744387,83.844894,225.74658
110.85248,0.0,0.0,443.4099,427.7341,21.744387,83.844894,225.74658
110.85248,0.0,0.0,457.40607,427.7341,21.744387,83.844894,225.74658
110.85248,0.0,0.0,443.4099,427.7341,31.798712,186.02275,249.59695
20.512497,0.0,0.0,808.39417,179.13597,31.798712,443.4099,249.59695
13.786409,0.0,0.0,707.84875,241.04175,31.798712,443.4099,249.59695
91.55944,0.0,0.0,366.23776,574.859,91.55944,443.4099,265.0182
139.8198,0.0,0.0,685.1833,549.2484,110.440544,457.40607,427.7341
139.8198,0.0,0.0,685.1833,531.18506,110.85248,488.8744,427.7341
139.8198,0.0,0.0,685.1833,363.4253,110.85248,685.1833,427.7341
70.73903,0.0,0.0,462.5438,668.69574,110.85248,685.1833,427.7341
67.963715,0.0,0.0,441.60477,608.9723,110.85248,685.1833,531.18506
67.963715,0.0,0.0,441.60477,608.9723,91.55944,685.1833,549.2484
160.88058,0.0,0.0,610.3042,748.17737,91.55944,685.1833,574.859
160.88058,0.0,0.0,538.9111,693.58014,139.8198,610.3042,608.9723
160.88058,0.0,0.0,538.9111,693.58014,139.8198,538.9111,608.9723
102.17236,0.0,0.0,791.1842,848.43695,139.8198,610.3042,668.69574
70.58858,0.0,0.0,1073.2499,649.7598,139.8198,610.3042,668.69574
70.58858,0.0,0.0,1073.2499,500.9065,102.17236,610.3042,668.69574
210.35657,0.0,0.0,698.39075,1421.1079,102.17236,610.3042,693.58014
171.95775,0.0,0.0,1097.6763,1051.1267,160.88058,698.39075,693.58014
145.84329,0.0,0.0,907.87006,1168.5901,160.88058,791.1842,748.17737
119.03411,0.0,0.0,1081.3462,1159.6023,160.88058,907.87006,848.43695
120.68344,0.0,0.0,816.79913,868.9379,145.84329,907.87006,868.9379
108.86654,0.0,0.0,719.39844,835.2445,120.68344,907.87006,868.9379
167.07214,0.0,0.0,421.72314,917.8457,120.68344,907.87006,917.8457
124.432495,0.0,0.0,421.01068,487.47644,124.432495,907.87006,917.8457
99.964134,0.0,0.0,356.54593,844.77386,124.432495,816.79913,917.8457
99.964134,0.0,0.0,356.54593,863.046,124.432495,719.39844,917.8457
99.964134,0.0,0.0,356.54593,849.79144,120.68344,719.39844,868.9379
10.878408,0.0,0.0,54.01562,588.98975,119.03411,421.72314,863.046
10.878408,0.0,0.0,54.01562,670.74384,108.86654,421.01068,849.79144
10.878408,0.0,0.0,54.01562,670.74384,99.964134,356.54593,844.77386
6.0,0.0,0.0,24.0,147.05673,99.964134,356.54593,835.2445
23.387495,0.0,0.0,63.447445,204.71985,99.964134,356.54593,670.74384
23.387495,0.0,0.0,63.447445,247.52989,23.387495,63.447445,670.74384
19.380365,0.0,0.0,77.52146,351.4337,23.387495,63.447445,670.74384
19.380365,0.0,0.0,77.52146,351.4337,19.380365,63.447445,588.98975
8.187092,0.0,0.0,159.99289,311.9126,19.380365,63.447445,351.4337
10.509602,0.0,0.0,179.59062,595.5166,10.878408,63.447445,351.4337
27.226318,0.0,0.0,108.90527,735.9237,19.380365,77.52146,351.4337
27.226318,0.0,0.0,80.05234,735.9237,19.380365,77.52146,351.4337
46.059097,0.0,0.0,376.7536,454.66235,23.387495,80.05234,351.4337
46.059097,0.0,0.0,376.7536,442.6301,23.387495,108.90527,442.6301
66.524925,0.0,0.0,294.99243,553.9739,27.226318,159.99289,454.66235
59.755684,0.0,0.0,322.4131,841.3736,27.226318,179.59062,553.9739
59.755684,0.0,0.0,322.4131,841.3736,46.059097,294.99243,595.5166
59.755684,0.0,0.0,322.4131,790.922,46.059097,322.4131,735.9237
114.366776,0.0,0.0,370.8244,452.6416,59.755684,322.4131,735.9237
